player,position,Fantasy Points,FP deviation,Floor,Ceiling,Geometric mean,Median,New Projections,,Week,Name,Pos,DK points,New Predicted,Average Projection
Mark Ingram,RB,12.88,5.23,2.42,23.33,10.4,15.2,17.5374514,,6,Carson Wentz,QB,7.361,15.2626051,16.705
Frank Gore,RB,12.24,1.9,8.44,16.05,12.1,12.16,14.1697726,,6,Case Keenum,QB,33.541,16.1764491,13.81666667
LeGarrette Blount,RB,11.85,3.21,5.44,18.26,11.14,13.15,15.842476,,6,Eddie Royal,WR,9.401,14.388592,8.885
Eddie Lacy,RB,11.8,2.36,7.08,16.51,11.52,11.92,10.753009,,6,Kelvin Benjamin,WR,16.601,16.2681033,14.405
Isaiah Crowell,RB,11.38,3.19,5,17.75,10.95,11.07,14.3046866,,6,Frank Gore,RB,14.801,14.1697726,12.525
Latavius Murray,RB,11.36,1.08,9.2,13.52,11.3,11.4,#N/A,,6,Alex Smith,QB,8.861,18.2557427,17.815
Giovani Bernard,RB,11.13,2.28,6.57,15.69,10.81,11.98,11.159338,,6,Emmanuel Sanders,WR,8.001,14.8865297,15.95666667
Jonathan Stewart,RB,10.93,2.56,5.81,16.05,10.64,10.91,16.673115,,6,Demaryius Thomas,WR,7.501,14.9802197,14.52666667
Darren Sproles,RB,10.13,0.82,8.49,11.77,10.1,10.4,12.3784858,,6,Joe Flacco,QB,15.281,17.2538858,15.475
Arian Foster,RB,10.08,2.09,5.89,14.26,9.81,10.43,10.115102,,6,LeGarrette Blount,RB,15.001,15.842476,13.41333333
James White,RB,9.73,1.78,6.17,13.29,9.54,10.2,11.170916,,6,Willie Snead,WR,8.701,15.3306527,14.88333333
T.J. Yeldon,RB,9.64,3.12,3.4,15.88,9.09,10.62,11.6161314,,6,Mike Wallace,WR,13.701,15.2603333,10.96333333
Rashad Jennings,RB,9.48,2.14,5.19,13.76,9.2,10.11,9.455878,,6,Ryan Tannehill,QB,10.381,18.6006309,16.68666667
Terrance West,RB,9.39,2.29,4.81,13.97,9.13,8.82,10.7392398,,6,Jordy Nelson,WR,10.801,14.9854334,17.795
Duke Johnson,RB,9.27,2.48,4.32,14.23,8.92,9.12,#N/A,,6,Eli Manning,QB,29.121,14.638874,16.01333333
Matt Jones,RB,9.24,1.91,5.43,13.05,9.06,8.48,9.27947,,6,Randall Cobb,WR,18.301,15.2018573,11.665
Tevin Coleman,RB,9.19,2.65,3.9,14.48,8.77,8.87,12.084368,,6,Tyrod Taylor,QB,20.961,14.9180888,18.625
Bilal Powell,RB,8.28,2.61,3.06,13.5,7.8,9.07,7.738966,,6,Michael Thomas,WR,18.801,15.9490067,10.54833333
DeAndre Washington,RB,8.23,0.57,7.08,9.38,8.21,8.2,7.6197866,,6,Davante Adams,WR,5.401,15.5072867,8.028333333
Spencer Ware,RB,8.14,3.61,0.93,15.35,7.13,8.35,13.57248,,6,Jordan Howard,RB,12.001,20.822438,18.38666667
Jeremy Hill,RB,7.46,2.11,3.24,11.68,7.1,7.1,7.466638,,6,Russell Wilson,QB,11.501,19.420969,20.25166667
James Starks,RB,7.19,4.04,-0.89,15.27,6.37,5.26,#N/A,,6,Martellus Bennett,TE,9.801,15.54325,10.60666667
Devontae Booker,RB,7.15,0.76,5.63,8.67,7.11,7.39,10.5636986,,6,Jarvis Landry,WR,16.101,17.7292033,17.14
Chris Ivory,RB,6.7,2.21,2.29,11.12,6.33,6.46,7.578112,,6,Jay Ajayi,RB,36.701,10.505308,4.748333333
DeAngelo Williams,RB,6.44,3.22,0.01,12.87,5.73,6.04,9.696158,,6,Christine Michael,RB,23.301,19.438652,14.91666667
Bobby Rainey,RB,6.07,3.33,-0.6,12.73,4.13,7.33,7.3188974,,6,Carlos Hyde,RB,5.201,15.9917546,14.02833333
Chris Thompson,RB,5.64,1.73,2.18,9.1,5.34,5.56,6.232618,,6,Matt Forte,RB,3.201,14.8008276,14.36833333
Derrick Henry,RB,5.63,1.77,2.09,9.17,5.3,5.66,9.828131,,6,Spencer Ware,RB,27.301,13.57248,7.241666667
Mike Gillislee,RB,5.53,1.67,2.19,8.87,5.27,5.09,10.232474,,6,Greg Olsen,TE,15.401,10.4173,15.23333333
Jalen Richard,RB,5.41,2.87,-0.33,11.16,4.49,6.17,6.844587,,6,Devonta Freeman,RB,8.001,13.299212,13.67166667
Kyle Juszczyk,RB,5.11,1.62,1.86,8.35,4.86,4.58,#N/A,,6,Kirk Cousins,QB,18.321,15.5823128,15.01666667
Josh Ferguson,RB,5.04,1.56,1.93,8.15,4.74,6.01,#N/A,,6,C.J. Anderson,RB,11.101,19.2221994,15.46666667
Andre Ellington,RB,4.87,2.34,0.19,9.56,4.35,4.18,#N/A,,6,Carson Palmer,QB,12.421,20.650626,21.75166667
Jay Ajayi,RB,4.75,1.63,1.49,8,4.44,5,10.505308,,6,Doug Baldwin,WR,7.101,18.18419,14.79166667
Dwayne Washington,RB,4.67,1.85,0.96,8.37,4.31,3.93,#N/A,,6,Brandin Cooks,WR,33.501,17.8096901,14.30166667
Fozzy Whittaker,RB,4.6,2.94,-1.27,10.47,2.28,4.2,11.1916282,,6,Andy Dalton,QB,21.861,18.6151472,16.53
Shaun Draughn,RB,4.38,1.79,0.79,7.96,3.91,4.4,5.4853438,,6,Michael Crabtree,WR,3.001,18.0249372,13.36
C.J. Spiller,RB,4.2,1.59,1.01,7.39,3.86,4.66,#N/A,,6,T.Y. Hilton,WR,7.901,16.7010822,16.21833333
Benny Cunningham,RB,4.18,1.74,0.69,7.67,3.57,4.86,5.7949134,,6,Marcus Mariota,QB,28.761,20.6032994,17.71833333
Alfred Blue,RB,4.16,1.97,0.23,8.1,3.81,3.4,#N/A,,6,Brian Hoyer,QB,15.081,17.200955,17.07
Cameron Artis-Payne,RB,4.11,1.75,0.61,7.6,3.74,4.07,#N/A,,6,Philip Rivers,QB,11.121,14.9256439,15.39
Justin Forsett,RB,3.99,4.46,-4.93,12.9,4.81,3,#N/A,,6,Tevin Coleman,RB,2.701,12.084368,9.488333333
Alfred Morris,RB,3.93,2.53,-1.13,8.99,3.34,3.38,#N/A,,6,Dak Prescott,QB,20.481,19.2584933,15.73
Javorius Allen,RB,3.89,1.05,1.79,5.99,3.77,3.4,#N/A,,6,Amari Cooper,WR,25.901,19.2897522,16.58833333
Travaris Cadet,RB,3.69,2.88,-2.07,9.46,3.66,2.88,#N/A,,6,Julio Jones,WR,29.901,17.686776,17.56333333
Kenneth Dixon,RB,3.65,1.54,0.57,6.73,3.31,3.44,#N/A,,6,Larry Fitzgerald,WR,10.901,19.4260423,16.40666667
Mike Tolbert,RB,3.47,1.33,0.81,6.12,3.18,3.73,#N/A,,6,LeSean McCoy,RB,37.201,24.081602,18.97833333
Wendell Smallwood,RB,3.38,1.67,0.04,6.73,2.99,2.8,#N/A,,6,Blake Bortles,QB,12.941,19.4690438,18.77666667
KaDeem Carey,RB,3.36,1.01,1.34,5.38,3.14,3.54,#N/A,,6,Matthew Stafford,QB,28.201,19.570256,18.15833333
Rob Kelley,RB,3.34,2.62,-1.9,8.58,2.29,2.32,#N/A,,6,Melvin Gordon,RB,9.401,16.7046736,16.10666667
Orleans Darkwa,RB,3.27,1.56,0.16,6.39,2.91,2.5,#N/A,,6,Antonio Brown,WR,8.501,21.0517733,23.61166667
Charcandrick West,RB,3.19,1.95,-0.72,7.1,2.03,2.82,#N/A,,6,A.J. Green,WR,14.801,20.294254,17.57666667
Tim Hightower,RB,3.11,1.49,0.14,6.09,2.77,2.93,#N/A,,6,Ezekiel Elliott,RB,22.401,19.0974654,15.89
Lance Dunbar,RB,3.11,1.43,0.25,5.98,2.82,2.23,#N/A,,6,Cam Newton,QB,30.981,23.760737,24.935
Dexter McCluster,RB,2.77,1.17,0.42,5.12,2.52,2.55,#N/A,,6,Derek Carr,QB,11.801,21.0442154,17.59833333
Robert Turbin,RB,2.65,0.67,1.3,4,2.57,2.5,#N/A,,6,DeMarco Murray,RB,12.501,25.8270736,22.325
Brandon Bolden,RB,2.39,3.07,-3.75,8.53,2.02,0.12,#N/A,,6,Ben Roethlisberger,QB,11.561,20.8651499,22.51666667
C.J. Prosise,RB,2.21,1.58,-0.95,5.38,2.5,2.08,#N/A,,6,Aaron Rodgers,QB,14.461,22.7066658,20.19833333
Zach Zenner,RB,2.05,0.79,0.47,3.62,1.82,2.32,#N/A,,6,Andrew Luck,QB,24.381,18.5588079,17.285
John Kuhn,RB,1.98,1.81,-1.63,5.6,0.74,1.37,#N/A,,6,Drew Brees,QB,36.601,26.5740271,23.30666667
Joique Bell,RB,1.87,1.25,-0.63,4.37,0.99,2.07,#N/A,,6,Matt Ryan,QB,26.601,23.615372,15.98166667
Jamize Olawale,RB,1.82,0.9,0.03,3.61,1.63,1.35,#N/A,,6,Tom Brady,QB,30.241,30.365344,20.32
Paul Perkins,RB,1.7,2.25,-2.81,6.21,0.9,1.02,#N/A,,6,Terrelle Pryor,WR,28.841,-0.15035,11.04666667
Denard Robinson,RB,1.65,1.66,-1.68,4.98,1.2,0.85,#N/A,,,,,,,
Damien Williams,RB,1.65,1.63,-1.61,4.9,1.17,1.22,#N/A,,,,,,,
Reggie Bush,RB,1.52,1.98,-2.44,5.48,0.58,0.5,#N/A,,,,,,,
Kenyan Drake,RB,1.4,1.09,-0.77,3.57,0.7,1.25,#N/A,,,,,,,
Daniel Lasco,RB,1.23,1.46,-1.7,4.15,0.4,0.34,#N/A,,,,,,,
Kenneth Farrow,RB,1.2,1.09,-0.99,3.38,0.74,1.04,#N/A,,,,,,,
Antonio Andrews,RB,1.16,1.72,-2.28,4.59,0.7,0.48,#N/A,,,,,,,
Alex Collins,RB,1.02,0.85,-0.69,2.73,0.63,0.8,#N/A,,,,,,,
Tyler Ervin,RB,1,0.81,-0.62,2.63,0.96,0.87,#N/A,,,,,,,
Mike Davis,RB,1,0.9,-0.81,2.81,0.64,0.78,#N/A,,,,,,,
Kenjon Barner,RB,1,0.8,-0.61,2.6,0.4,1.04,#N/A,,,,,,,
Malcolm Johnson,RB,0.92,0.72,-0.52,2.36,0.69,0.58,#N/A,,,,,,,
Andy Janovich,RB,0.87,0.84,-0.82,2.56,0.38,0.5,#N/A,,,,,,,
Corey Grant,RB,0.87,1.47,-2.08,3.81,0.61,0.29,#N/A,,,,,,,
Taiwan Jones,RB,0.85,1.12,-1.4,3.1,0.38,0.2,#N/A,,,,,,,
Jonathan Williams,RB,0.81,0.64,-0.46,2.08,0.6,0.39,#N/A,,,,,,,
Fitzgerald Toussaint,RB,0.78,0.97,-1.16,2.73,1.09,0.47,#N/A,,,,,,,
Patrick DiMarco,RB,0.76,0.4,-0.05,1.56,0.66,0.51,#N/A,,,,,,,
Stepfan Taylor,RB,0.71,0.31,0.1,1.32,0.64,0.72,#N/A,,,,,,,
Malcolm Brown,RB,0.7,0.51,-0.31,1.71,0.47,0.7,#N/A,,,,,,,
Knile Davis,RB,0.61,0.48,-0.35,1.57,0.78,0.7,#N/A,,,,,,,
Troymaine Pope,RB,0.5,0.54,-0.57,1.57,0.21,0.3,#N/A,,,,,,,
Isaiah Pead,RB,0.49,0.85,-1.21,2.2,1.97,0,#N/A,,,,,,,
Jordan Todman,RB,0.45,0.63,-0.81,1.72,0.46,0.29,#N/A,,,,,,,
Anthony Sherman,RB,0.43,0.62,-0.81,1.66,0.22,0.22,#N/A,,,,,,,
James Develin,RB,0.41,0.43,-0.45,1.27,0.41,0.26,#N/A,,,,,,,
Jalston Fowler,RB,0.41,0.45,-0.49,1.3,0.37,0.2,#N/A,,,,,,,
Aaron Ripkowski,RB,0.33,0.39,-0.45,1.11,0.13,0.22,#N/A,,,,,,,
Rex Burkhead,RB,0.29,0.48,-0.68,1.26,0.21,0.09,#N/A,,,,,,,
Jay Prosch,RB,0.27,0.24,-0.21,0.75,0.2,0.2,#N/A,,,,,,,
Jerome Felton,RB,0.2,0.2,-0.19,0.59,0.3,0.2,#N/A,,,,,,,
Darius Jackson,RB,0.14,0.19,-0.25,0.52,0.19,0.04,#N/A,,,,,,,
George Atkinson,RB,0.12,0.22,-0.31,0.56,0.11,0.01,#N/A,,,,,,,
Daryl Richardson,RB,0.11,0.19,-0.26,0.48,0.43,0,#N/A,,,,,,,
Michael Burton,RB,0.1,0.14,-0.18,0.39,0.24,0,#N/A,,,,,,,
Roosevelt Nix,RB,0.1,0.07,-0.05,0.25,0.15,0.13,#N/A,,,,,,,
Raheem Mostert,RB,0.1,0.14,-0.18,0.37,0.29,0,#N/A,,,,,,,
Marcus Murphy,RB,0.07,0.11,-0.14,0.28,0.16,0,#N/A,,,,,,,
Rod Smith,RB,0.04,0.08,-0.12,0.2,0.2,0,#N/A,,,,,,,
Dri Archer,RB,0.01,0.01,-0.02,0.03,0.03,0,#N/A,,,,,,,
Bishop Sankey,RB,0,0,0,0,,0,#N/A,,,,,,,
Juwan Thompson,RB,0,0,0,0,,0,#N/A,,,,,,,
George Winn,RB,0,0,0,0,,0,#N/A,,,,,,,
Andre Williams,RB,0,0,0,0,,0,#N/A,,,,,,,
Gus Johnson,RB,0,0,0,0,,0,#N/A,,,,,,,
Joey Iosefa,RB,0,0,0,0,,0,#N/A,,,,,,,
Kerwynn Williams,RB,0,0,0,0,,0,#N/A,,,,,,,
Joe Banyard,RB,0,0,0,0,,0,#N/A,,,,,,,
Dan Herron,RB,0,0,0,0,,0,#N/A,,,,,,,
Khiry Robinson,RB,0,0,0,0,,0,#N/A,,,,,,,
DuJuan Harris,RB,0,0,0,0,,0,#N/A,,,,,,,
Karlos Williams,RB,0,0,0,0,,0,#N/A,,,,,,,
Brandon Wegher,RB,0,0,0,0,,0,#N/A,,,,,,,
Stevan Ridley,RB,0,0,0,0,,0,#N/A,,,,,,,
Austin Johnson,RB,0,0,0,0,,0,#N/A,,,,,,,
Antone Smith,RB,0,0,0,0,,0,#N/A,,,,,,,
Tommy Bohanon,RB,0,0,0,0,,0,#N/A,,,,,,,
Chase Reynolds,RB,0,0,0,0,,0,#N/A,,,,,,,
David Cobb,RB,0,0,0,0,,0,#N/A,,,,,,,
Marshaun Coprich,RB,0,0,0,0,,0,#N/A,,,,,,,
Marcel Reece,RB,0,0,0,0,,0,#N/A,,,,,,,
Greg Olsen,TE,15.33,3.78,7.77,22.89,14.7,16.52,10.4173,,,,,,,
Travis Kelce,TE,12.62,3.66,5.3,19.94,11.87,13.6,9.2782,,,,,,,
Rob Gronkowski,TE,12.44,4.46,3.52,21.36,10.96,13.59,15.54325,,,,,,,
Delanie Walker,TE,11.97,3.58,4.8,19.14,11.37,12.21,15.54325,,,,,,,
Martellus Bennett,TE,11.03,1.78,7.46,14.59,10.88,10.83,15.54325,,,,,,,
Zach Miller,TE,10.79,2.63,5.53,16.05,10.53,10,9.84775,,,,,,,
Jason Witten,TE,10.75,5.24,0.27,21.23,9.74,9.72,12.6955,,,,,,,
Jimmy Graham,TE,10.61,3.86,2.9,18.33,9.96,9.84,14.9737,,,,,,,
Coby Fleener,TE,10.41,0.7,9.01,11.8,10.38,10.5,10.4173,,,,,,,
Zach Ertz,TE,10.32,2.4,5.51,15.13,10.03,10.4,10.4173,,,,,,,
Julius Thomas,TE,9.83,3.18,3.47,16.18,9.24,9.68,9.84775,,,,,,,
Antonio Gates,TE,9.43,3.91,1.6,17.25,8.64,9.07,10.4173,,,,,,,
Gary Barnidge,TE,9.38,4.62,0.13,18.63,7.71,8.84,15.54325,,,,,,,
Dennis Pitta,TE,9.28,4.81,-0.34,18.89,6.99,10.13,10.98685,,,,,,,
Charles Clay,TE,8.83,2.21,4.4,13.25,8.43,9.42,15.54325,,,,,,,
Clive Walford,TE,7.67,1.03,5.61,9.73,7.6,7.36,9.2782,,,,,,,
Jesse James,TE,7.57,2.06,3.45,11.68,7.15,8.39,15.54325,,,,,,,
Hunter Henry,TE,7.51,3.67,0.17,14.84,6.68,6.55,10.4173,,,,,,,
Dwayne Allen,TE,7.01,4.25,-1.5,15.52,7.12,7.5,7,,,,,,,
Jacob Tamme,TE,6.52,1.95,2.62,10.43,6.2,6.5,14.9737,,,,,,,
Virgil Green,TE,6.38,2.11,2.16,10.6,5.75,7.01,10.4173,,,,,,,
Will Tye,TE,5.99,1.41,3.17,8.82,5.85,5.87,10.98685,,,,,,,
Larry Donnell,TE,5.82,2.21,1.4,10.24,5.28,6.57,10.98685,,,,,,,
Lance Kendricks,TE,5.8,2.06,1.68,9.93,5.39,5.92,10.4173,,,,,,,
Vance McDonald,TE,5.23,1.8,1.63,8.83,4.86,5.73,15.54325,,,,,,,
Dion Sims,TE,5.1,1.86,1.37,8.82,4.76,4.5,15.54325,,,,,,,
Crockett Gillmore,TE,5.02,2.28,0.46,9.59,4.42,5.03,10.98685,,,,,,,
C.J. Uzomah,TE,4.83,3.29,-1.74,11.41,2.99,5.31,15.54325,,,,,,,
C.J. Fiedorowicz,TE,4.71,2.82,-0.93,10.35,3.65,4.58,7,,,,,,,
Jack Doyle,TE,4.71,1.31,2.09,7.32,4.45,5.15,7,,,,,,,
Vernon Davis,TE,4.6,2.66,-0.72,9.91,3.89,2.82,10.4173,,,,,,,
Brent Celek,TE,4.46,5.18,-5.9,14.81,1.79,2.62,#N/A,,,,,,,
Darren Fells,TE,4.33,2.3,-0.28,8.94,5,4.76,14.9737,,,,,,,
Jermaine Gresham,TE,3.99,2.06,-0.13,8.12,3.57,2.81,#N/A,,,,,,,
Austin Seferian-Jenkins,TE,3.92,1.63,0.65,7.19,3.63,3.29,#N/A,,,,,,,
Garrett Celek,TE,3.84,1.19,1.47,6.21,3.64,3.58,#N/A,,,,,,,
Ryan Griffin,TE,3.58,2.11,-0.65,7.8,3.44,4.36,7,,,,,,,
Mychal Rivera,TE,2.98,2.31,-1.63,7.59,2.37,2.2,#N/A,,,,,,,
Stephen Anderson,TE,2.94,1.65,-0.37,6.25,2.37,3.76,#N/A,,,,,,,
Trey Burton,TE,2.78,0.86,1.07,4.5,2.63,2.69,#N/A,,,,,,,
Marcedes Lewis,TE,2.78,1.65,-0.51,6.07,2.97,2.84,#N/A,,,,,,,
Xavier Grimble,TE,2.68,1.61,-0.54,5.9,2.21,2.3,#N/A,,,,,,,
Tyler Kroft,TE,2.63,2.41,-2.18,7.45,1.21,2,#N/A,,,,,,,
Luke Willson,TE,2.62,0.87,0.89,4.35,2.48,2.42,#N/A,,,,,,,
Austin Hooper,TE,2.57,0.77,1.03,4.11,2.4,3.02,#N/A,,,,,,,
Ed Dickson,TE,2.52,1.11,0.3,4.74,2.22,2.69,#N/A,,,,,,,
Niles Paul,TE,2.46,2.03,-1.6,6.51,1.13,2.03,#N/A,,,,,,,
Cole Wick,TE,2.29,2.05,-1.81,6.38,1.54,1.14,#N/A,,,,,,,
Josh Hill,TE,2.19,2.51,-2.83,7.21,1.04,1.19,#N/A,,,,,,,
Anthony Fasano,TE,2.04,2.57,-3.1,7.19,0.67,0.42,#N/A,,,,,,,
