Week;Year;GID;Name;Pos;Team;h/a;Oppt;FD points;FD salary
2;2017;1131;Brady, Tom;QB;nwe;a;nor;30.78;9200
2;2017;1514;Wentz, Carson;QB;phi;a;kan;25.82;7300
2;2017;1488;Siemian, Trevor;QB;den;h;dal;23.64;6600
2;2017;1151;Brees, Drew;QB;nor;h;nwe;22.24;8700
2;2017;1441;Carr, Derek;QB;oak;h;nyj;21.2;8300
2;2017;1252;Rodgers, Aaron;QB;gnb;a;atl;19.52;9100
2;2017;1501;Prescott, Dak;QB;dal;a;den;17.92;7700
2;2017;1518;Watson, Deshaun;QB;hou;a;cin;17.7;6700
2;2017;1232;Roethlisberger, Ben;QB;pit;h;min;17.52;8000
2;2017;1231;Rivers, Philip;QB;lac;h;mia;17.24;7000
2;2017;1207;Palmer, Carson;QB;ari;a;ind;16.88;7500
2;2017;1254;Smith, Alex;QB;kan;h;phi;16.14;7200
2;2017;1175;McCown, Josh;QB;nyj;a;oak;15.74;6400
2;2017;1302;Flacco, Joe;QB;bal;h;cle;15.58;7000
2;2017;1412;Wilson, Russell;QB;sea;h;sfo;15.32;8100
2;2017;1301;Ryan, Matt;QB;atl;h;gnb;14.88;8200
2;2017;1466;Mariota, Marcus;QB;ten;a;jac;14;7900
2;2017;1340;Stafford, Matthew;QB;det;a;nyg;13.18;7900
2;2017;1263;Cutler, Jay;QB;mia;a;lac;13.1;6900
2;2017;1225;Manning, Eli;QB;nyg;h;det;12.56;7200
2;2017;1465;Winston, Jameis;QB;tam;h;chi;12.46;7800
2;2017;1490;Goff, Jared;QB;lar;h;was;12.06;6500
2;2017;1420;Glennon, Mike;QB;chi;a;tam;12.04;6600
2;2017;1415;Cousins, Kirk;QB;was;a;lar;11.86;7700
2;2017;1378;Newton, Cam;QB;car;h;buf;11.82;7800
2;2017;1442;Bortles, Blake;QB;jac;h;ten;11.82;7100
2;2017;1400;Taylor, Tyrod;QB;buf;a;car;10.5;7400
2;2017;1496;Brissett, Jacoby;QB;ind;h;ari;9.84;6400
2;2017;1403;Dalton, Andy;QB;cin;h;hou;9.46;7000
2;2017;1495;Hogan, Kevin;QB;cle;a;bal;8.22;6000
2;2017;1435;Keenum, Case;QB;min;a;pit;6.68;6000
2;2017;1517;Kizer, DeShone;QB;cle;a;bal;4.88;6800
2;2017;1336;Hoyer, Brian;QB;sfo;a;sea;2.96;6300
2;2017;5071;Webb, Joe;QB;buf;a;car;0;6000
2;2017;1242;Fitzpatrick, Ryan;QB;tam;h;chi;-0.2;6000
2;2017;2924;Anderson, C.J.;RB;den;h;dal;28.9;7000
2;2017;5392;Montgomery, Ty;RB;gnb;a;atl;26;6500
2;2017;2992;Gurley, Todd;RB;lar;h;was;25.1;7700
2;2017;5560;Hunt, Kareem;RB;kan;h;phi;24.4;7800
2;2017;2915;Thompson, Chris;RB;was;a;lar;24.1;5500
2;2017;2930;Freeman, Devonta;RB;atl;h;gnb;23;8100
2;2017;5370;Allen, Javorius;RB;bal;h;cle;18.6;4900
2;2017;5490;Richard, Jalen;RB;oak;h;nyj;17.9;5300
2;2017;2991;Gordon, Melvin;RB;lac;h;mia;17.3;7600
2;2017;2933;Hyde, Carlos;RB;sfo;a;sea;15.8;6400
2;2017;5445;Henry, Derrick;RB;ten;a;jac;15.2;5500
2;2017;2954;White, James;RB;nwe;a;nor;13.6;5700
2;2017;2998;Ajayi, Jay;RB;mia;a;lac;13.6;7900
2;2017;5534;Fournette, Leonard;RB;jac;h;ten;13.1;7600
2;2017;2894;Gillislee, Mike;RB;nwe;a;nor;12.9;6700
2;2017;2818;Rodgers, Jacquizz;RB;tam;h;chi;12.7;6600
2;2017;2890;Burkhead, Rex;RB;nwe;a;nor;11.9;5000
2;2017;2929;West, Terrance;RB;bal;h;cle;11.5;6600
2;2017;2994;Coleman, Tevin;RB;atl;h;gnb;11.5;5700
2;2017;2552;Lynch, Marshawn;RB;oak;h;nyj;11.4;7200
2;2017;2613;Forte, Matt;RB;nyj;a;oak;11.1;5600
2;2017;2888;Bell, Le'Veon;RB;pit;h;min;11.1;9000
2;2017;2467;Gore, Frank;RB;ind;h;ari;10.6;5800
2;2017;5565;Carson, Chris;RB;sea;h;sfo;10.5;5200
2;2017;2859;Miller, Lamar;RB;hou;a;cin;10.2;6400
2;2017;2793;Ingram, Mark;RB;nor;h;nwe;9.6;6200
2;2017;2997;Johnson, Duke;RB;cle;a;bal;9.5;5400
2;2017;5564;Cohen, Tarik;RB;chi;a;tam;8.8;5400
2;2017;2995;Abdullah, Ameer;RB;det;a;nyg;8.6;6000
2;2017;5493;Kelley, Rob;RB;was;a;lar;7.8;5600
2;2017;5559;Cook, Dalvin;RB;min;a;pit;7.4;6700
2;2017;2707;McCoy, LeSean;RB;buf;a;car;7.3;8600
2;2017;5538;Perine, Samaje;RB;was;a;lar;7.2;4900
2;2017;2830;Vereen, Shane;RB;nyg;h;det;7;4800
2;2017;5562;Kamara, Alvin;RB;nor;h;nwe;6.9;4700
2;2017;2484;Sproles, Darren;RB;phi;a;kan;6.8;5300
2;2017;5536;McCaffrey, Christian;RB;car;h;buf;6.4;6600
2;2017;2741;Ivory, Chris;RB;jac;h;ten;6.3;4700
2;2017;5413;Fowler, Jalston;RB;ten;a;jac;6.3;4500
2;2017;5581;Ham, C.J.;RB;min;a;pit;6.1;4500
2;2017;2629;Charles, Jamaal;RB;den;h;dal;5.7;5300
2;2017;2907;Riddick, Theo;RB;det;a;nyg;5.2;6000
2;2017;5449;Washington, DeAndre;RB;oak;h;nyj;5;4900
2;2017;5507;Barber, Peyton;RB;tam;h;chi;4.7;4500
2;2017;5535;Mixon, Joe;RB;cin;h;hou;4.6;5400
2;2017;2645;Johnson, Chris;RB;ari;a;ind;4.4;0
2;2017;5567;Breida, Matt;RB;sfo;a;sea;4.3;4800
2;2017;5444;Elliott, Ezekiel;RB;dal;a;den;4.2;8700
2;2017;5544;McGuire, Elijah;RB;nyj;a;oak;4.1;4500
2;2017;2935;McKinnon, Jerick;RB;min;a;pit;4;4800
2;2017;5539;Foreman, D'Onta;RB;hou;a;cin;4;4700
2;2017;2612;Stewart, Jonathan;RB;car;h;buf;4;5900
2;2017;2892;Ellington, Andre;RB;ari;a;ind;3.8;4900
2;2017;2969;Crowell, Isaiah;RB;cle;a;bal;3.7;6300
2;2017;5448;Prosise, C.J.;RB;sea;h;sfo;3.7;5200
2;2017;2889;Bernard, Giovani;RB;cin;h;hou;3.6;5700
2;2017;2831;Murray, DeMarco;RB;ten;a;jac;3.3;7500
2;2017;5472;Perkins, Paul;RB;nyg;h;det;3.2;6100
2;2017;5470;Ervin, Tyler;RB;hou;a;cin;3.1;4500
2;2017;2982;Oliver, Branden;RB;lac;h;mia;3.1;5100
2;2017;2816;Lewis, Dion;RB;nwe;a;nor;3;5100
2;2017;2553;Peterson, Adrian;RB;nor;h;nwe;2.6;5900
2;2017;2976;Darkwa, Orleans;RB;nyg;h;det;2.5;5000
2;2017;2928;Hill, Jeremy;RB;cin;h;hou;2.4;5700
2;2017;2867;Turbin, Robert;RB;ind;h;ari;2.4;4900
2;2017;2918;Williams, Kerwynn;RB;ari;a;ind;2.2;6100
2;2017;5450;Collins, Alex;RB;bal;h;cle;2.2;0
2;2017;2959;Fluellen, David;RB;ten;a;jac;1.8;4500
2;2017;5541;Williams, Jamaal;RB;gnb;a;atl;1.6;5200
2;2017;2819;Powell, Bilal;RB;nyj;a;oak;1.3;6400
2;2017;5405;Grant, Corey;RB;jac;h;ten;1.3;4500
2;2017;5548;Mack, Marlon;RB;ind;h;ari;1.3;4800
2;2017;2647;Tolbert, Mike;RB;buf;a;car;1.2;4900
2;2017;2825;Develin, James;RB;nwe;a;nor;1.1;4500
2;2017;5483;Washington, Dwayne;RB;det;a;nyg;0.9;4500
2;2017;5537;Conner, James;RB;pit;h;min;0.9;5100
2;2017;3191;Smith, Rod;RB;dal;a;den;0.8;4500
2;2017;5447;Howard, Jordan;RB;chi;a;tam;0.7;7400
2;2017;5406;Ripkowski, Aaron;RB;gnb;a;atl;0.7;4500
2;2017;5473;Smallwood, Wendell;RB;phi;a;kan;0.6;4800
2;2017;2899;Murray, Latavius;RB;min;a;pit;0.6;5600
2;2017;2721;Blount, LeGarrette;RB;phi;a;kan;0.5;6300
2;2017;5402;Rawls, Thomas;RB;sea;h;sfo;0.4;5800
2;2017;5374;Watson, Terrell;RB;pit;h;min;0.1;4500
2;2017;5441;Brown, Malcolm;RB;lar;h;was;0.1;4500
2;2017;5543;Jones, Aaron;RB;gnb;a;atl;0;4600
2;2017;5414;Mostert, Raheem;RB;sfo;a;sea;0;4500
2;2017;5415;Burton, Michael;RB;chi;a;tam;0;4500
2;2017;2549;Kuhn, John;RB;nor;h;nwe;0;4500
2;2017;2957;Williams, Damien;RB;mia;a;lac;0;4500
2;2017;5375;Ward, Terron;RB;atl;h;gnb;0;4500
2;2017;2840;Todman, Jordan;RB;hou;a;cin;0;4500
2;2017;5566;Dayes, Matthew;RB;cle;a;bal;0;4500
2;2017;5573;Edmunds, Trey;RB;nor;h;nwe;0;4500
2;2017;2974;Perry, Senorise;RB;mia;a;lac;0;4500
2;2017;2987;West, Charcandrick;RB;kan;h;phi;0;5200
2;2017;2910;Bohanon, Tommy;RB;jac;h;ten;0;4500
2;2017;2822;Sherman, Anthony;RB;kan;h;phi;0;4500
2;2017;2874;Bolden, Brandon;RB;nwe;a;nor;0;4500
2;2017;5504;Watt, Derek;RB;lac;h;mia;0;4500
2;2017;5561;Henderson, De'Angelo;RB;den;h;dal;0;4500
2;2017;2820;Jones, Taiwan;RB;buf;a;car;0;4500
2;2017;2805;DiMarco, Patrick;RB;buf;a;car;0;4500
2;2017;2909;Coleman, Derrick;RB;atl;h;gnb;0;4500
2;2017;2916;Whittaker, Fozzy;RB;car;h;buf;0;4500
2;2017;5482;Janovich, Andy;RB;den;h;dal;0;4500
2;2017;2908;Juszczyk, Kyle;RB;sfo;a;sea;0;4500
2;2017;5575;Ekeler, Austin;RB;lac;h;mia;0;4500
2;2017;2980;Prosch, Jay;RB;hou;a;cin;0;4500
2;2017;5517;Vitale, Dan;RB;cle;a;bal;0;4500
2;2017;2931;Sims, Charles;RB;tam;h;chi;-0.1;5600
2;2017;5446;Drake, Kenyan;RB;mia;a;lac;-0.3;4900
2;2017;3872;Crabtree, Michael;WR;oak;h;nyj;29;7300
2;2017;3983;Sanders, Emmanuel;WR;den;h;dal;21.2;6400
2;2017;5409;Nelson, J.J.;WR;ari;a;ind;20.5;5300
2;2017;5186;Kearse, Jermaine;WR;nyj;a;oak;20.4;5400
2;2017;5263;Adams, Davante;WR;gnb;a;atl;19.9;6700
2;2017;5253;Evans, Mike;WR;tam;h;chi;18.8;8500
2;2017;5153;Jeffery, Alshon;WR;phi;a;kan;18.7;6900
2;2017;5367;Bryant, Martavis;WR;pit;h;min;17.3;6200
2;2017;5341;Hurns, Allen;WR;jac;h;ten;17.2;5600
2;2017;5167;Hogan, Chris;WR;nwe;a;nor;16.3;6200
2;2017;5326;Coleman, Brandon;WR;nor;h;nwe;16.2;4600
2;2017;3891;Bryant, Dez;WR;dal;a;den;15.4;7600
2;2017;5198;Allen, Keenan;WR;lac;h;mia;14.5;7100
2;2017;5160;Thompson, Deonte;WR;chi;a;tam;13.7;4500
2;2017;5335;Landry, Jarvis;WR;mia;a;lac;13.6;6500
2;2017;5475;Higgins, Rashard;WR;cle;a;bal;13.4;0
2;2017;5089;Jones, Julio;WR;atl;h;gnb;13.3;8800
2;2017;5208;Patterson, Cordarrelle;WR;oak;h;nyj;12.8;5000
2;2017;5459;Thomas, Michael;WR;nor;h;nwe;11.4;8000
2;2017;3830;Maclin, Jeremy;WR;bal;h;cle;11.1;6300
2;2017;5256;Lee, Marqise;WR;jac;h;ten;11.1;5900
2;2017;5159;Sanu, Mohamed;WR;atl;h;gnb;11;5300
2;2017;5206;Hopkins, DeAndre;WR;hou;a;cin;10.8;7400
2;2017;5257;Benjamin, Kelvin;WR;car;h;buf;10.7;6600
2;2017;5212;Stills, Kenny;WR;mia;a;lac;10.7;5400
2;2017;5380;Parker, DeVante;WR;mia;a;lac;10.5;6400
2;2017;5162;Wright, Kendall;WR;chi;a;tam;10.4;5400
2;2017;3997;Thomas, Demaryius;WR;den;h;dal;10.1;7000
2;2017;5125;Cobb, Randall;WR;gnb;a;atl;10;6300
2;2017;5386;Lockett, Tyler;WR;sea;h;sfo;9.4;5700
2;2017;5229;Brown, Jaron;WR;ari;a;ind;9.3;4500
2;2017;5168;Jones, Marvin;WR;det;a;nyg;9.2;5800
2;2017;5091;Green, A.J.;WR;cin;h;hou;9.2;8200
2;2017;5553;Smith-Schuster, JuJu;WR;pit;h;min;9.1;4800
2;2017;5384;Dorsett, Phillip;WR;nwe;a;nor;9;4800
2;2017;5260;Richardson, Paul;WR;sea;h;sfo;8.9;5200
2;2017;5381;Funchess, Devin;WR;car;h;buf;8.8;5200
2;2017;3474;Brown, Antonio;WR;pit;h;min;8.7;9400
2;2017;5113;Smith, Torrey;WR;phi;a;kan;8.6;5000
2;2017;5480;Erickson, Alex;WR;cin;h;hou;8.4;4500
2;2017;2580;Grant, Ryan;WR;was;a;lar;7.6;4600
2;2017;5385;Conley, Chris;WR;kan;h;phi;7.5;4900
2;2017;5432;Williams, Tyrell;WR;lac;h;mia;7.4;6300
2;2017;5378;Agholor, Nelson;WR;phi;a;kan;7.4;5500
2;2017;5136;Baldwin, Doug;WR;sea;h;sfo;7.4;7600
2;2017;5191;Bellamy, Josh;WR;chi;a;tam;7.1;4600
2;2017;5485;Hill, Tyreek;WR;kan;h;phi;6.9;7200
2;2017;5151;Hilton, T.Y.;WR;ind;h;ari;6.9;7200
2;2017;5410;Crowder, Jamison;WR;was;a;lar;6.7;6200
2;2017;5478;Rogers, Eli;WR;pit;h;min;6.3;4600
2;2017;5555;Taylor, Taywan;WR;ten;a;jac;6.3;4500
2;2017;5182;Matthews, Rishard;WR;ten;a;jac;5.8;6300
2;2017;5323;Beckham Jr., Odell;WR;nyg;h;det;5.6;8600
2;2017;3770;Jackson, DeSean;WR;tam;h;chi;5.4;6700
2;2017;5376;Cooper, Amari;WR;oak;h;nyj;5.3;7900
2;2017;5163;Beasley, Cole;WR;dal;a;den;5.3;5500
2;2017;5255;Cooks, Brandin;WR;nwe;a;nor;5.3;7900
2;2017;3946;LaFell, Brandon;WR;cin;h;hou;5;4800
2;2017;5333;Thielen, Adam;WR;min;a;pit;4.9;5800
2;2017;5453;Treadwell, Laquon;WR;min;a;pit;4.8;5100
2;2017;5552;Kupp, Cooper;WR;lar;h;was;4.8;5400
2;2017;5578;Hollins, Mack;WR;phi;a;kan;4.7;4500
2;2017;3902;Decker, Eric;WR;ten;a;jac;4.7;6100
2;2017;5275;Aiken, Kamar;WR;ind;h;ari;4.6;5000
2;2017;3995;Tate, Golden;WR;det;a;nyg;4.5;7400
2;2017;5254;Matthews, Jordan;WR;buf;a;car;4.5;6400
2;2017;5205;Goodwin, Marquise;WR;sfo;a;sea;4.1;5500
2;2017;1407;Pryor, Terrelle;WR;was;a;lar;4.1;6800
2;2017;3754;Garcon, Pierre;WR;sfo;a;sea;4.1;6500
2;2017;5424;Diggs, Stefon;WR;min;a;pit;4.1;6500
2;2017;5252;Watkins, Sammy;WR;lar;h;was;4;6700
